text,intent
i was wondering about update my name,question
can i set reminders,question
salut,greeting
first-class experience,praise
what a perfect experience,praise
sup,greeting
please help me understand recover my password,question
bonjour there,greeting
i am really upset that getting a 404 error,complaint
truly splendid service,praise
good afternoon madam,greeting
how do i upgrade storage,question
absolutely flawless product,praise
the data export is extremely slow and unusable,complaint
dropping a note to say amazing product,praise
the api is completely broken,complaint
truly exceptional product,praise
absolutely remarkable product,praise
every feature request has been thoughtfully implemented,praise
how do i increase storage quota,question
hey from a new user here,greeting
went above and beyond for me,praise
is there a way to login,question
already referred three friends to this platform,praise
truly magnificent resolution,praise
new version is so much better than before,praise
recently joined and saying a big hello,greeting
i have a question about get a refund,question
the api is extremely slow and unusable,complaint
just dropping in to say hi,greeting
truly wonderful service,praise
absolutely exceptional experience,praise
i am deeply disappointed that the website is not loading,complaint
love the new feature you added,praise
greetings from a longtime subscriber,greeting
i have a question about cancel my subscription,question
thrilled to be speaking with you,greeting
hi i am excited to be here,greeting
hey a quick hi from me,greeting
afternoon there,greeting
the onboarding flow is not loading properly,complaint
cannot use the sync feature at all right now,complaint
how many users can i add,question
absolutely fantastic support,praise
just wanted to say no waiting time at all,praise
please help me understand login,question
how do i whitelist an email address,question
is my data encrypted at rest,question
agent stayed with me until the problem was fully solved,praise
i need help with recover my password,question
what a splendid response,praise
looking for help with when will my order arrive,question
quick question: what payment methods are accepted,question
just a hiya,greeting
solved my problem completely,praise
bonjour from a french speaking user,greeting
could you explain trouble signing in,question
truly perfect service,praise
hi there,greeting
what a first-class service,praise
the notifications keeps crashing on me,complaint
i have a question about what happens after the trial ends,question
can you help me with edit my profile,question
back again with a hello,greeting
polite greeting,greeting
is there a way to access my account,question
can you help me with set a new password,question
need some guidance on forgot my password,question
remarkable support,praise
a big thank you to the billing team,praise
hey what is new with you,greeting
how are things this afternoon,greeting
absolutely terrific support,praise
please help me understand login is not working,question
how can i login,question
wanted to take a moment to praise incredible team,praise
the feature is not working correctly,complaint
taking a moment to share that excellent support,praise
dropping a note to say incredible team,praise
hello everyone hope all is well,greeting
i wanted to let you know very knowledgeable staff,praise
need some guidance on trouble signing in,question
had to reach out and say awesome experience,praise
happy to report that amazing product,praise
i am angry because the app is unavailable,complaint
could you explain having trouble logging in,question
what are the api rate limits,question
the two factor authentication is extremely slow and unusable,complaint
i was wondering about i cannot log in,question
what a terrific response,praise
how do i create an email alias,question
it is unacceptable that everything is down,complaint
i need help with change email address,question
loading times are now excellent,praise
the payment system is completely broken,complaint
truly impeccable platform,praise
can you help me with change profile picture,question
the support agent was rude to me,complaint
what a brilliant experience,praise
truly fantastic platform,praise
absolutely stellar product,praise
i am angry because the application is very slow,complaint
can you help me with remove a payment method,question
quick question: where is the profile page,question
good morning sunshine,greeting
looking for help with track my shipment,question
just a howdy,greeting
world-class support,praise
truly remarkable product,praise
absolutely magnificent service,praise
how do i add team members,question
could you explain update personal information,question
there is a critical bug in the automation feature,complaint
heya friend,greeting
delighted to say that immediate help was provided,praise
bonjour again,greeting
good to see you,greeting
the mobile app is giving me errors constantly,complaint
what a remarkable response,praise
absolutely excellent support,praise
can you help me with my order,question
it is unacceptable that the app keeps crashing,complaint
just wanted to say amazing product,praise
it is unacceptable that pages are taking forever to load,complaint
can you help me with cancel my subscription,question
happy to report that exceptional service,praise
the sync feature is extremely slow and unusable,complaint
the scheduled reports is giving me errors constantly,complaint
i was wondering about how long is the free trial,question
how do i collapse the navigation menu,question
just wanted to say wonderful service,praise
it is unacceptable that service is completely broken,complaint
magnificent platform,praise
what a incredible platform,praise
quick question: how to change email address,question
i need help with the profile page,question
reaching out specifically to say resolved my issue instantly,praise
hi technical support,greeting
compelled to share that response was almost instant,praise
i need help with remove a payment method,question
i have a question about cannot remember my password,question
i want to cancel my account immediately,complaint
i need help with cancel my subscription,question
there is a critical bug in the scheduled reports,complaint
taking a moment to share that got an answer within minutes,praise
the backup system is completely broken,complaint
how do i unsubscribe users from a list,question
not a single issue so far,praise
absolutely first-class service,praise
hi there good evening,greeting
what happens when i exceed my storage limit,question
excellent resolution,praise
how do i set sales targets,question
could you explain login,question
could you explain access my account,question
nice to chat again,greeting
taking a moment to share that great service,praise
thrilled to share that amazing product,praise
wanted to take a moment to praise no waiting time at all,praise
absolutely excellent platform,praise
how are you friend,greeting
i am deeply disappointed that the site is lagging badly,complaint
i am angry because pages are taking forever to load,complaint
truly incredible product,praise
great response,praise
please help me understand check delivery status,question
how to track my shipment,question
taking a moment to share that super fast response time,praise
remarkable resolution,praise
could you explain upgrade my plan,question
fantastic team,praise
truly stellar resolution,praise
dropping a note to say immediate help was provided,praise
hola again,greeting
compelled to share that agent was extremely helpful,praise
i am deeply disappointed that the system is not responding,complaint
what a stellar response,praise
i have a question about apply a promo code,question
truly impeccable support,praise
reaching out specifically to say incredible team,praise
i have a question about login is not working,question
is there a way to update my profile,question
delighted to say that resolved in record time,praise
hello hope i am not interrupting,greeting
where do i set my date format,question
how to change profile picture,question
outstanding service,praise
please help me understand add a payment method,question
fix did not work i am still experiencing the problem,complaint
i was wondering about what happens after the trial ends,question
can i share a report with others,question
taking a moment to share that top notch quality,praise
can i set up read receipts,question
truly amazing product,praise
thrilled to share that magnificent support,praise
a huge thank you to the support team,praise
absolutely top-notch team,praise
truly flawless product,praise
please help me understand switch plans,question
please help me understand the profile page,question
three weeks and still no resolution in sight,complaint
i have a question about edit my profile,question
reaching out specifically to say no waiting time at all,praise
i am really upset that it keeps timing out,complaint
what a phenomenal platform,praise
the backup system keeps crashing on me,complaint
is there a way to sign in,question
i was wondering about when will my order arrive,question
absolutely magnificent response,praise
the team blog is well written and helpful,praise
the export feature stopped working after the last update,complaint
just a heya,greeting
perfect experience,praise
absolutely superb service,praise
hi long time user just saying hey,greeting
truly flawless experience,praise
once again having trouble with videos are buffering non stop,complaint
dropping a note to say went above and beyond for me,praise
the email verification is not loading properly,complaint
i need help setting up for the first time,question
what a perfect service,praise
perfect response,praise
my feedback was acknowledged and acted upon quickly,praise
still experiencing the issue with the application is very slow,complaint
reaching out specifically to say brilliant product,praise
is there a way to update personal information,question
need some guidance on report a missing item,question
truly wonderful resolution,praise
hey hope the year is treating you well,greeting
stellar platform,praise
how to get into my account,question
truly remarkable support,praise
the role permissions stopped working after the last update,complaint
your service is down,complaint
the search feature keeps crashing on me,complaint
looking for help with when will i be billed,question
i was wondering about recover my password,question
absolutely impressive resolution,praise
wanted to give a shoutout for immediate help was provided,praise
friendly good morning,greeting
what a brilliant resolution,praise
hey agent,greeting
wanted to take a moment to praise very knowledgeable staff,praise
what a world-class platform,praise
good evening agent,greeting
the app is unavailable,complaint
hello customer service,greeting
could you explain where are the account settings,question
wanted to give a shoutout for remarkable experience,praise
taking a moment to share that superb platform,praise
absolutely first-class product,praise
the chatbot cannot understand my issue at all,complaint
support was quick to respond,praise
i was wondering about where are the account settings,question
how do i set up an autoresponder,question
dropping a note to say response was almost instant,praise
the billing page stopped working after the last update,complaint
the integration keeps crashing on me,complaint
i am deeply disappointed that response times are terrible,complaint
hey good afternoon,greeting
just got my account set up hello everyone,greeting
glad to be a new member of this community,greeting
absolutely splendid team,praise
hiya buddy,greeting
what a outstanding platform,praise
hey champ,greeting
absolutely impeccable response,praise
best decision i made choosing this platform,praise
wanted to give a shoutout for support was quick to respond,praise
what a incredible product,praise
onboarding was guided and personalized for my specific use case,praise
need some guidance on login page is not loading,question
once again having trouble with pages are taking forever to load,complaint
could you explain how does billing work,question
looking for help with apply a promo code,question
looking for help with what happens after the trial ends,question
thrilled to share that resolved in record time,praise
absolutely incredible experience,praise
evening again,greeting
can you help me with how long is the free trial,question
it is unacceptable that your service is down,complaint
warmest heya,greeting
i need help with included in the pro plan,question
good evening dear,greeting
i wanted to let you know awesome experience,praise
i wanted to let you know resolved my issue instantly,praise
how do i enable dark mode,question
i have a question about switch plans,question
hello from a happy customer,greeting
for the third time now i cannot access the platform,complaint
had to reach out and say resolved in record time,praise
stellar product,praise
friendly hola,greeting
wanted to take a moment to praise solved my problem completely,praise
the application is very slow,complaint
truly top-notch product,praise
truly terrific product,praise
what a world-class support,praise
once again having trouble with it keeps timing out,complaint
wanted to take a moment to praise top notch quality,praise
what a phenomenal response,praise
quick question: where can i see my bill,question
chat support keeps disconnecting,complaint
how to give admin access,question
the login page is completely broken,complaint
could you explain the return policy,question
morning friend,greeting
good afternoon mate,greeting
the workflow engine is not loading properly,complaint
absolutely wonderful response,praise
good evening star,greeting
friendly afternoon,greeting
hello friends,greeting
what a perfect support,praise
there is a critical bug in the data export,complaint
subscription was not cancelled as requested,complaint
cannot use the login page at all right now,complaint
what a extraordinary team,praise
had to reach out and say excellent support,praise
delighted to say that exceptional service,praise
compelled to share that excellent support,praise
delighted to say that superb platform,praise
cannot use the calendar integration at all right now,complaint
what a stellar product,praise
looking for help with switch plans,question
delighted to say that impressive platform,praise
what a incredible resolution,praise
taking a moment to share that resolved in record time,praise
i need help with login,question
warmest good afternoon,greeting
good evening hope you had an amazing day today,greeting
splendid resolution,praise
absolutely terrific product,praise
truly magnificent product,praise
just wanted to say impressive platform,praise
hola,greeting
the workflow engine is completely broken,complaint
how to change my credit card,question
can i use zapier with this platform,question
cannot help but mention that amazing product,praise
i cannot access my account,complaint
exceptional service,praise
i wanted to let you know magnificent support,praise
is there a way to return an item,question
how do i lock a row in a table,question
good afternoon customer service,greeting
the dashboard keeps crashing on me,complaint
truly outstanding product,praise
i am really upset that the app keeps crashing,complaint
i keep experiencing problems with pages are taking forever to load,complaint
hey wizard,greeting
what is included in the pro plan,question
hi representative,greeting
truly fantastic response,praise
what a exceptional team,praise
the calendar integration is extremely slow and unusable,complaint
evening friend,greeting
what payment methods are accepted,question
hi eager to connect,greeting
truly exceptional team,praise
fantastic response,praise
salutations everyone,greeting
how do i share files with others,question
truly extraordinary service,praise
i am deeply disappointed that it keeps timing out,complaint
truly fantastic support,praise
truly stellar support,praise
what a outstanding response,praise
a loyal customer from now on,praise
i am angry because your servers are down,complaint
i wanted to let you know agent was extremely helpful,praise
i am having serious issues with the file upload,complaint
what a world-class response,praise
login is not working,question
proactively informed me about the fix before i even asked,praise
how do i compare two versions,question
the website is not loading,complaint
how to view subscription details,question
just a hey,greeting
good afternoon team,greeting
can i pin tabs in the interface,question
delighted to say that fastest support i have ever experienced,praise
how do i segment my email list,question
i keep experiencing problems with the system is not responding,complaint
good morning friends,greeting
how long is the free trial,question
the sync feature stopped working after the last update,complaint
can you help me with reset password,question
need some guidance on check delivery status,question
just wanted to say exceptional service,praise
can you help me with get into my account,question
the email integration has been broken for days,complaint
wanted to take a moment to praise remarkable experience,praise
happy to report that superb platform,praise
amazing response,praise
wanted to give a shoutout for wonderful service,praise
truly top-notch experience,praise
yo what is up,greeting
good afternoon again,greeting
the redesign is terrible,complaint
how is it going this afternoon,greeting
superb support,praise
the billing page is extremely slow and unusable,complaint
how to add a backup payment method,question
i was wondering about the return policy,question
please help me understand included in the pro plan,question
hello there good afternoon,greeting
search functionality is powerful and fast,praise
exceptional platform,praise
what a superb resolution,praise
how are you everyone,greeting
could you explain what payment methods are accepted,question
i need help with check delivery status,question
could you explain track my shipment,question
feel misled by the marketing,complaint
hello help desk,greeting
delighted to say that no waiting time at all,praise
notifications work exactly as expected,praise
great product,praise
friendly hello,greeting
still experiencing the issue with the app is unavailable,complaint
hello there good morning,greeting
absolutely flawless platform,praise
could you explain update my profile,question
looking for help with password reset not working,question
what a top-notch team,praise
still experiencing the issue with response times are terrible,complaint
please help me understand update my password,question
looking for help with get into my account,question
what a remarkable support,praise
i need help with get into my account,question
good evening friends,greeting
why is it that file upload is extremely slow,complaint
world-class resolution,praise
terrific support,praise
a quick sup,greeting
the integration is extremely slow and unusable,complaint
need some guidance on need to reset my password,question
i wanted to let you know outstanding customer support,praise
hiya there,greeting
absolutely terrific experience,praise
quick question: how to download my invoice,question
i am really upset that the application is very slow,complaint
is there a way to my order,question
the sync feature keeps crashing on me,complaint
warmest hello,greeting
i keep experiencing problems with file upload is extremely slow,complaint
looking for help with check delivery status,question
fantastic experience,praise
outstanding response,praise
the dashboard is beautifully designed,praise
how to sign in,question
what a fantastic service,praise
a quick hello,greeting
absolutely remarkable platform,praise
happy to report that great service,praise
how do i bulk import data,question
hello advisor,greeting
how do i generate a report,question
looking for help with exchange a product,question
what a top-notch platform,praise
there is a critical bug in the api,complaint
flawless team,praise
i am frustrated because the app is freezing constantly,complaint
truly phenomenal service,praise
can you help me with login page is not loading,question
i am really upset that the system is not responding,complaint
service is completely broken,complaint
what is the maximum file size for upload,question
demanding a full refund,complaint
compelled to share that resolved my issue instantly,praise
yo friend,greeting
evening sunshine,greeting
how do i create a mailing list,question
sincere hi,greeting
for the third time now service is completely broken,complaint
following up again as i still have had no response,complaint
outstanding resolution,praise
truly extraordinary support,praise
the quality of support is unmatched anywhere,praise
delighted to say that response was almost instant,praise
compelled to share that no waiting time at all,praise
is there a way to view my invoice,question
hello champion,greeting
world-class product,praise
feels like i am being completely ignored,complaint
cannot use the scheduled reports at all right now,complaint
what a top-notch response,praise
greetings again,greeting
hey hey,greeting
how do i verify my phone number,question
what a impeccable team,praise
the scheduled reports is extremely slow and unusable,complaint
wanted to take a moment to praise brilliant product,praise
do you have a knowledge base,question
help articles answer my questions perfectly every time,praise
good afternoon hope you are well,greeting
the admin panel stopped working after the last update,complaint
world-class experience,praise
can you help me with update personal information,question
absolutely incredible response,praise
brilliant service,praise
the email integration is completely broken,complaint
extraordinary experience,praise
looking for help with change my username,question
wanted to take a moment to praise magnificent support,praise
pages are taking forever to load,complaint
sup today,greeting
superb service,praise
you made my day so much better,praise
hi madam,greeting
reaching out with a warm greeting,greeting
compelled to share that immediate help was provided,praise
what a phenomenal team,praise
can you help me with cannot remember my password,question
what a remarkable resolution,praise
truly perfect response,praise
can you help me with access my account,question
i have a question about download my invoice,question
cannot help but mention that awesome experience,praise
terrific platform,praise
hello waving hello your way,greeting
how do i track email open rates,question
the demo was thorough and answered every single question i had,praise
need some guidance on i cannot log in,question
i am angry because videos are buffering non stop,complaint
a quick ciao,greeting
still experiencing the issue with the app is freezing constantly,complaint
my issue was resolved in under five minutes,praise
just wanted to say fastest support i have ever experienced,praise
truly stellar experience,praise
hey champion,greeting
need some guidance on what payment methods are accepted,question
hi champ,greeting
i feel completely let down by your company,complaint
i wanted to let you know fantastic work,praise
hi support,greeting
hey team,greeting
no learning curve at all,praise
how to revoke admin access,question
absolutely brilliant product,praise
quick question: cannot remember my password,question
i have a question about how much does it cost,question
incredible resolution,praise
hello,greeting
absolutely first-class support,praise
the automation feature is completely broken,complaint
what a excellent platform,praise
truly first-class product,praise
the email verification is extremely slow and unusable,complaint
i am angry because i cannot access the platform,complaint
i need help with update personal information,question
wonderful resolution,praise
simple hi,greeting
i wanted to let you know response was almost instant,praise
dropping a note to say got an answer within minutes,praise
brilliant team,praise
absolutely excellent resolution,praise
how do i forecast sales,question
wanted to take a moment to praise resolved my issue instantly,praise
the backup system is not loading properly,complaint
for the third time now videos are buffering non stop,complaint
the export feature keeps crashing on me,complaint
the import function is not loading properly,complaint
reaching out specifically to say amazing product,praise
hey there good afternoon,greeting
wanted to give a shoutout for super fast response time,praise
hello how is everything going,greeting
still experiencing the issue with the system is not responding,complaint
truly first-class support,praise
please help me understand how does billing work,question
the mobile app is extremely slow and unusable,complaint
looking for help with sign in,question
i keep experiencing problems with the app is unavailable,complaint
please help me understand cancel an order,question
i have a question about what payment methods are accepted,question
how do i handle dates in formulas,question
absolutely fantastic service,praise
how do i sort by multiple columns,question
please help me understand how much does it cost,question
how do i create an a b test for email,question
the admin panel is not loading properly,complaint
clean and simple design,praise
i was wondering about change email address,question
a quick hi,greeting
looking for help with the profile page,question
feels like a company that truly cares about users,praise
amazing support,praise
i am deeply disappointed that the dashboard is loading too slowly,complaint
the map is not displaying,complaint
i am really upset that your service is down,complaint
cannot use the automation feature at all right now,complaint
how to use webhooks,question
hello specialist,greeting
how are you,greeting
excited to connect with you today,greeting
hey support team,greeting
could you explain update my name,question
good evening there,greeting
absolutely terrific platform,praise
the api is not loading properly,complaint
for the third time now the dashboard is loading too slowly,complaint
i am really upset that your servers are down,complaint
wanted to take a moment to praise very helpful team,praise
awesome experience,praise
what a top-notch experience,praise
i was wondering about apply a promo code,question
what a extraordinary support,praise
dropping a note to say resolved my issue instantly,praise
the scheduled reports is not loading properly,complaint
i need help with need to reset my password,question
i need help with i cannot log in,question
there is a critical bug in the two factor authentication,complaint
how do i export a report as pdf,question
the button does nothing when i click it,complaint
can you help me with update my name,question
where to see usage statistics,question
looking for help with get a refund,question
quick question: how to sign in,question
friendly namaste,greeting
taking a moment to share that wonderful service,praise
lovely to chat with you,greeting
what a superb response,praise
absolutely impeccable team,praise
can you help me with when will i be billed,question
i have a question about change email address,question
what is new,greeting
reaching out specifically to say top notch quality,praise
absolutely impeccable experience,praise
why is it that the site is lagging badly,complaint
the dashboard has been broken for days,complaint
is there a way to login is not working,question
hello everyone,greeting
absolutely splendid service,praise
what a brilliant platform,praise
what file formats do you support for import,question
superb experience,praise
truly outstanding experience,praise
hiya friend,greeting
absolutely wonderful support,praise
just a hi,greeting
i have a question about change profile picture,question
what a splendid product,praise
please help me understand trouble signing in,question
compelled to share that solved my problem completely,praise
does it work with microsoft teams,question
hello waving hello your way today,greeting
i cannot believe that the dashboard is loading too slowly,complaint
amazing product,praise
thrilled to share that response was almost instant,praise
thrilled to share that fantastic work,praise
hello there welcome,greeting
cannot use the user management at all right now,complaint
i was wondering about need to reset my password,question
what a flawless product,praise
truly great support,praise
how do i create canned responses,question
how do i lock a record from editing,question
reaching out specifically to say very knowledgeable staff,praise
need some guidance on pause my subscription,question
where is the dashboard,question
truly impeccable service,praise
how do i get the most out of this platform,question
just wanted to say immediate help was provided,praise
i need help with forgot my password,question
i was wondering about included in the pro plan,question
generic response did not solve anything at all,complaint
good evening,greeting
how do i archive old emails,question
i am really upset that file upload is extremely slow,complaint
i keep experiencing problems with the site is lagging badly,complaint
productivity has increased significantly since switching,praise
what a flawless team,praise
absolutely flawless service,praise
painless to get started with,praise
where can i see my reports,question
dropping a note to say lightning fast support,praise
truly splendid resolution,praise
could you explain add a payment method,question
even after the patch the bug is still present,complaint
amazing platform,praise
compelled to share that remarkable experience,praise
really appreciate the transparency of this company,praise
how do i add conditional logic to a form,question
how do i search within emails,question
what a magnificent resolution,praise
response times are terrible,complaint
excellent experience,praise
there is a critical bug in the workflow engine,complaint
i need help with change my password,question
wanted to take a moment to praise fantastic work,praise
what a fantastic resolution,praise
could you explain exchange a product,question
kudos to the development team for the great work,praise
absolutely world-class resolution,praise
i am frustrated because your servers are down,complaint
i am really upset that response times are terrible,complaint
delighted to say that resolved my issue instantly,praise
hello checking in today,greeting
still experiencing the issue with service is completely broken,complaint
the admin panel is completely broken,complaint
had to reach out and say immediate help was provided,praise
could you explain do you offer a free trial,question
value for money is absolutely incredible,praise
hello guys,greeting
truly excellent service,praise
great to connect with you today,greeting
no waiting time at all,praise
the automation feature keeps crashing on me,complaint
for the third time now pages are taking forever to load,complaint
hi hope you are having a productive day,greeting
how to update personal information,question
outstanding team,praise
what a top-notch support,praise
absolutely fantastic product,praise
the two factor authentication is giving me errors constantly,complaint
looking for help with update personal information,question
hi star,greeting
hello there,greeting
happy to report that very helpful team,praise
i have a question about downgrade my plan,question
splendid product,praise
had to reach out and say remarkable experience,praise
absolutely impressive team,praise
phenomenal experience,praise
what formulas are supported,question
can you help me with change my password,question
i am angry because your service is down,complaint
absolutely perfect product,praise
truly flawless service,praise
dropping a note to say super fast response time,praise
phenomenal response,praise
good afternoon today,greeting
how to request data deletion,question
absolutely outstanding response,praise
hello madam,greeting
is there a way to how much does it cost,question
is there a way to apply a promo code,question
truly impressive resolution,praise
would highly recommend this service,praise
how do i create a custom view,question
warmest yo,greeting
i keep experiencing problems with getting a 500 error,complaint
just wanted to say awesome experience,praise
cannot help but mention that brilliant product,praise
impressive resolution,praise
what a impeccable experience,praise
the integration has been broken for days,complaint
what a extraordinary response,praise
onboarding was smooth and quick,praise
howdy there,greeting
friendly hey,greeting
once again having trouble with the dashboard is loading too slowly,complaint
it is unacceptable that it keeps timing out,complaint
i cannot believe that the website is not loading,complaint
a pleasure to connect today,greeting
exceptional product,praise
brand new user here just saying hey,greeting
sending warm greetings today,greeting
i am deeply disappointed that the app keeps crashing,complaint
truly stellar response,praise
why was that feature removed without any notice,complaint
great to connect,greeting
the reporting tool is giving me errors constantly,complaint
quick question: how to view account details,question
brilliant support,praise
had to reach out and say lightning fast support,praise
it keeps timing out,complaint
thrilled to share that got an answer within minutes,praise
once again having trouble with i cannot access the platform,complaint
could you explain cancel my subscription,question
good afternoon buddy,greeting
truly outstanding team,praise
i was wondering about how much does it cost,question
outstanding experience,praise
compelled to share that superb platform,praise
truly first-class service,praise
i have a question about where is the profile page,question
quick question: how do i recover my password,question
payment failed but money was deducted,complaint
warmest sup,greeting
howdy,greeting
could you explain change email address,question
cannot believe how easy this made my work,praise
could you explain the profile page,question
i hope this message finds you well,greeting
team clearly listened to all the user feedback,praise
it is unacceptable that the app is unavailable,complaint
i was wondering about set a new password,question
i cannot believe that pages are taking forever to load,complaint
just wanted to say top notch quality,praise
truly impressive platform,praise
just a ciao,greeting
i am having serious issues with the role permissions,complaint
virtual hi,greeting
salam,greeting
i need help with sign in,question
truly impeccable resolution,praise
truly flawless resolution,praise
good evening support,greeting
i am frustrated because the application is very slow,complaint
the api has been broken for days,complaint
how to enable notifications,question
excellent response,praise
what a stellar platform,praise
hey there good evening,greeting
sup there,greeting
hey there good morning,greeting
absolutely superb support,praise
courteous hello,greeting
can i export a time report,question
good afternoon friends,greeting
the notifications has been broken for days,complaint
feature releases are genuinely exciting to see,praise
bonjour today,greeting
a quick evening,greeting
what a superb support,praise
there is a critical bug in the sync feature,complaint
good morning team,greeting
can you help me with how does billing work,question
need some guidance on view account details,question
the two factor authentication keeps crashing on me,complaint
had to reach out and say great service,praise
hiiii,greeting
getting so much more than i expected,praise
writing in to compliment fastest support i have ever experienced,praise
truly excellent experience,praise
what a impeccable resolution,praise
hi operator,greeting
i need help with change my username,question
absolutely outstanding resolution,praise
i wanted to let you know remarkable experience,praise
truly impeccable experience,praise
looking for help with update my profile,question
is there a way to change email address,question
for the third time now it keeps timing out,complaint
absolutely wonderful team,praise
can you help me with see my bill,question
where are the keyboard shortcuts,question
two factor code is not working,complaint
i am angry because it keeps timing out,complaint
is there a way to do you offer a free trial,question
truly magnificent team,praise
what encryption does the platform use,question
can i customize the dashboard,question
i was wondering about forgot my password,question
taking a moment to share that immediate help was provided,praise
integration with other tools is seamless,praise
taking a moment to share that brilliant product,praise
worth every single penny spent on this,praise
it is unacceptable that getting a 404 error,complaint
howdy from across the world,greeting
the scheduled reports stopped working after the last update,complaint
it is unacceptable that your servers are down,complaint
writing in to compliment got an answer within minutes,praise
love this platform,praise
service is unavailable again,complaint
hello hope you can help,greeting
absolutely extraordinary product,praise
happy to report that excellent support,praise
cannot use the integration at all right now,complaint
truly impressive experience,praise
first-class service,praise
absolutely extraordinary response,praise
dropping a note to say awesome experience,praise
good morning i hope you are well today,greeting
absolutely superb team,praise
i was wondering about what payment methods are accepted,question
what a superb platform,praise
truly brilliant response,praise
it is unacceptable that response times are terrible,complaint
every update introduces new and annoying bugs,complaint
for the third time now the website is not loading,complaint
dropping a note to say very helpful team,praise
how to view my login history,question
if this is not fixed i am cancelling immediately,complaint
is there a way to included in the pro plan,question
remarkable service,praise
thrilled to share that super fast response time,praise
compelled to share that amazing product,praise
please help me understand update my profile,question
is there a way to the pricing,question
hello folks,greeting
the two factor authentication has been broken for days,complaint
exceptional resolution,praise
there is a bug in the payment page,complaint
happy to have found this amazing platform hello,greeting
absolutely superb product,praise
quick question: how to reset password,question
hi there hope all is well with you,greeting
need some guidance on change my credit card,question
truly impeccable product,praise
i am angry because the app keeps crashing,complaint
hi new user alert here to say hello,greeting
why is it that the app keeps crashing,complaint
the responsiveness of the team is phenomenal,praise
do you have an annual plan,question
i am having serious issues with the scheduled reports,complaint
truly amazing platform,praise
the file upload has been broken for days,complaint
compelled to share that great service,praise
is there a way to reset password,question
cannot help but mention that got an answer within minutes,praise
first-class support,praise
writing in to compliment fantastic work,praise
good day there,greeting
how do i send a contract for signing,question
is there a mobile app available,question
poor performance overall,complaint
agent truly understood my issue,praise
exceptional experience,praise
need some guidance on my order,question
i am having serious issues with the audit logs,complaint
is there a way to downgrade my plan,question
looking for help with update my name,question
i was wondering about login is not working,question
wanted to give a shoutout for no waiting time at all,praise
the import function stopped working after the last update,complaint
hi manager,greeting
how do i set up contact scoring,question
good evening all,greeting
very helpful team,praise
what happens to duplicates when importing,question
can you help me with trouble signing in,question
stellar support,praise
i need help with what happens after the trial ends,question
truly magnificent support,praise
absolutely impeccable support,praise
promised a callback that never actually came,complaint
taking a moment to share that impressive platform,praise
quick question: how to switch plans,question
absolutely stellar response,praise
is there a way to the profile page,question
the backup system stopped working after the last update,complaint
what a superb product,praise
heyy,greeting
the onboarding flow stopped working after the last update,complaint
i need help with change profile picture,question
transferred four times and still have not received help,complaint
where can i see my bill,question
good morning customer service,greeting
writing in to compliment no waiting time at all,praise
cannot help but mention that excellent support,praise
the search feature is completely broken,complaint
the data export is completely broken,complaint
terrific team,praise
your service is very disappointing,complaint
please help me understand the return policy,question
what a impeccable product,praise
writing in to compliment super fast response time,praise
thrilled to share that brilliant product,praise
i was wondering about access my account,question
what a terrific platform,praise
wanted to take a moment to praise support was quick to respond,praise
good afternoon hope your day is great,greeting
compelled to share that went above and beyond for me,praise
absolutely top-notch product,praise
i have a question about when will i be billed,question
this platform has exceeded every expectation i had,praise
training resources are top quality without any doubt,praise
how are you hope you are well,greeting
how do i report a bug,question
i am frustrated because the app is unavailable,complaint
how to integrate with a third party app,question
how are you this afternoon,greeting
top-notch platform,praise
absolutely flawless experience,praise
i was wondering about view account details,question
how to contact support,question
i hate this app,complaint
can i undo a bulk import,question
what a excellent resolution,praise
filters are broken,complaint
looking for help with change my credit card,question
wanted to take a moment to praise awesome experience,praise
world-class response,praise
could you explain change profile picture,question
splendid service,praise
for the third time now getting a 404 error,complaint
the data export is giving me errors constantly,complaint
wishing you a great day ahead,greeting
good morning guys,greeting
the email integration is not loading properly,complaint
hi all,greeting
is there an onboarding guide,question
the search feature is giving me errors constantly,complaint
session keeps expiring too quickly,complaint
cannot use the workflow engine at all right now,complaint
delighted to say that super fast response time,praise
status page is always kept up to date,praise
how do i embed content externally,question
absolutely impressive support,praise
the redesign is clean modern and beautiful,praise
please help me understand pause my subscription,question
absolutely amazing product,praise
hi there how is your day going,greeting
how to enable two factor login,question
i am having serious issues with the user management,complaint
phenomenal support,praise
aloha from a tropical location,greeting
need some guidance on recover my password,question
reaching out specifically to say remarkable experience,praise
good morning i am a long time customer,greeting
truly terrific platform,praise
please help me understand cancel my subscription,question
friendly good day,greeting
can you help me with switch plans,question
i have lost hours of work due to this bug,complaint
need some guidance on track my shipment,question
the email integration stopped working after the last update,complaint
how do you do,greeting
greetings there,greeting
i have a question about where are the account settings,question
truly impressive response,praise
i have a question about set a new password,question
cannot help but mention that immediate help was provided,praise
looking for help with edit my profile,question
how to set up email notifications,question
amazing team,praise
cannot use the backup system at all right now,complaint
warmest bonjour,greeting
is there a way to edit my profile,question
good morning star,greeting
provided a workaround while the fix was being developed,praise
what a brilliant response,praise
hi dear,greeting
good evening champion,greeting
howdy again,greeting
glad to reach you today,greeting
hola today,greeting
what a flawless response,praise
magnificent support,praise
no one asked for this change to be made,complaint
could you explain included in the pro plan,question
reaching out specifically to say solved my problem completely,praise
a quick hey,greeting
please help me understand view account details,question
sync is not working between devices,complaint
how to switch plans,question
